Date,DXY,USDZAR=X,USDTRY=X,USDCLP=X,EM_FX_Basket
2015-01-01,,11.449999809265137,2.331160068511963,605.4500122070312,
2015-01-02,20.21669578552246,11.553400039672852,2.330980062484741,605.4500122070312,
2015-01-05,20.25846290588379,11.727700233459473,2.34224009513855,613.5,
2015-01-06,20.300233840942383,11.695300102233887,2.330749988555908,617.2000122070312,
2015-01-07,20.37542152404785,11.720000267028809,2.3236100673675537,616.0,
2015-01-08,20.458959579467773,11.6875,2.3175699710845947,614.0,-0.0019342724469400218
2015-01-09,20.367063522338867,11.575750350952148,2.2981998920440674,612.5499877929688,1.4684060228161224e-05
2015-01-12,20.367063522338867,11.474499702453613,2.2927699089050293,614.0999755859375,0.002800822391252892
2015-01-13,20.42554473876953,11.5201997756958,2.2842700481414795,615.7000122070312,0.0024996009764081707
2015-01-14,20.383771896362305,11.493800163269043,2.282370090484619,620.2999877929688,0.0020167043555563203
2015-01-15,20.450605392456055,11.439570426940918,2.281219959259033,625.0999755859375,0.0012743485236479243
2015-01-16,20.54250144958496,11.541620254516602,2.3053200244903564,625.4000244140625,-0.0014087384148706065
2015-01-19,,11.529899597167969,2.330970048904419,627.0499877929688,-0.002830625336239071
2015-01-20,20.62604331970215,11.625490188598633,2.331860065460205,627.5499877929688,-0.003269883528241616
2015-01-21,20.567562103271484,11.585579872131348,2.3454599380493164,628.0999755859375,-0.003198405019626641
2015-01-22,20.87666130065918,11.504300117492676,2.3489699363708496,627.7999877929688,-0.0026308863699772366
2015-01-23,21.060447692871094,11.398699760437012,2.3262600898742676,624.4000244140625,0.00031766136040239543
2015-01-26,21.027034759521484,11.433320045471191,2.36296010017395,625.75,-0.0002307693878912165
2015-01-27,20.826536178588867,11.452199935913086,2.3560099601745605,623.0999755859375,0.0007688849507796172
2015-01-28,20.95184898376465,11.572199821472168,2.363140106201172,622.3499755859375,0.00016718970923985667
2015-01-29,20.968555450439453,11.569899559020996,2.3869199752807617,622.0499877929688,-0.0008580588307616283
2015-01-30,20.993616104125977,11.541099548339844,2.415489912033081,627.2999877929688,-0.0036702508221932257
2015-02-02,20.95184898376465,11.625280380249023,2.440200090408325,633.6500244140625,-0.004114987076851569
2015-02-03,20.709579467773438,11.501899719238281,2.430759906768799,629.9000244140625,-0.0031233270868982347
2015-02-04,20.834890365600586,11.373800277709961,2.40159010887146,625.0999755859375,-0.00025273457105456194
2015-02-05,20.684520721435547,11.476799964904785,2.459939956665039,626.5499877929688,-0.002005390095279351
2015-02-06,20.935136795043945,11.28812026977539,2.435810089111328,623.5,0.0012637515029855508
2015-02-09,20.91843032836914,11.498299598693848,2.4717600345611572,627.0,0.0005074033976208602
2015-02-10,20.94349479675293,11.574600219726562,2.4747300148010254,623.75,-0.0010295171172784265
2015-02-11,21.018678665161133,11.679610252380371,2.494309902191162,625.5,-0.004399373792619129
2015-02-12,20.81818199157715,11.79740047454834,2.498110055923462,629.5,-0.0032214850399335513
2015-02-13,20.809829711914062,11.704230308532715,2.4674999713897705,622.25,-0.0031847678611360104
2015-02-16,,11.644800186157227,2.455970048904419,618.2000122070312,0.0004986261424341363
2015-02-17,20.784765243530273,11.634200096130371,2.454859972000122,621.1500244140625,0.0004482466778851366
2015-02-18,20.793121337890625,11.671529769897461,2.4514999389648438,619.25,0.001848845844967768
2015-02-19,20.86830711364746,11.588700294494629,2.443310022354126,619.0999755859375,0.003761064905589243
2015-02-20,20.851598739624023,11.667400360107422,2.453200101852417,618.2999877929688,0.001013422516789619
2015-02-23,20.910076141357422,11.615900039672852,2.452500104904175,615.5499877929688,0.0005392932286794269
2015-02-24,20.86830711364746,11.625900268554688,2.471820116043091,621.9000244140625,-0.0005037043941664269
2015-02-25,20.826536178588867,11.49174976348877,2.4628500938415527,618.5,0.0007906963630244602
2015-02-26,21.04374122619629,11.446200370788574,2.4872000217437744,617.2999877929688,-0.00018682289987663768
2015-02-27,21.05209732055664,11.52970027923584,2.504470109939575,618.5,-0.0006292095479941402
2015-03-02,21.093862533569336,11.683699607849121,2.506089925765991,616.7000122070312,-0.001978564771927142
2015-03-03,21.085512161254883,11.76990032196045,2.520709991455078,616.5999755859375,-0.0015782206204201603
2015-03-04,21.194114685058594,11.743220329284668,2.53262996673584,616.7999877929688,-0.003139647410336781
2015-03-05,21.294361114501953,11.784310340881348,2.5620200634002686,618.2000122070312,-0.00403234102107175
2015-03-06,21.553335189819336,11.833499908447266,2.6057300567626953,621.0,-0.004671116026483661
2015-03-09,21.553335189819336,12.015000343322754,2.6226999759674072,627.0999755859375,-0.0060431121628354255
2015-03-10,21.778892517089844,12.110300064086914,2.6031200885772705,627.5499877929688,-0.0052520673073986526
2015-03-11,22.02115821838379,12.351099967956543,2.6362900733947754,634.5999755859375,-0.007990336353073054
2015-03-12,21.904203414916992,12.254079818725586,2.6112399101257324,637.25,-0.005953351494561503
2015-03-13,22.1297607421875,12.264200210571289,2.5859899520874023,633.5,-0.003253840097952214
2015-03-16,21.962682723999023,12.442700386047363,2.629879951477051,639.4500122070312,-0.0038702310247519245
2015-03-17,21.97103500366211,12.402700424194336,2.622889995574951,640.2999877929688,-0.003488418080801063
2015-03-18,21.53662872314453,12.350029945373535,2.6107499599456787,640.7999877929688,-2.4768791235970678e-05
2015-03-19,21.8624324798584,12.08821964263916,2.5696499347686768,636.0999755859375,0.002048233894116295
2015-03-20,21.570043563842773,12.291219711303711,2.602289915084839,639.75,-0.0012825632712969216
2015-03-23,21.336132049560547,12.030099868774414,2.5772199630737305,631.2999877929688,0.00438447725089844
