,CPI,Core_CPI,Core_PCE,Retail_Sales,Industrial_Production,Nonfarm_Payrolls
1930-03-01,,,,,6.8396,
1930-04-01,,,,,6.7857,
1930-05-01,,,,,6.678,
1930-06-01,,,,,6.4895,
1930-07-01,,,,,6.1933,
1930-08-01,,,,,6.0587,
1930-09-01,,,,,5.951,
1930-10-01,,,,,5.7894,
1930-11-01,,,,,5.6548,
1930-12-01,,,,,5.5201,
1931-01-01,,,,,5.4932,
1931-02-01,,,,,5.5201,
1931-03-01,,,,,5.6279,
1931-04-01,,,,,5.6548,
1931-05-01,,,,,5.574,
1931-06-01,,,,,5.4394,
1931-07-01,,,,,5.3586,
1931-08-01,,,,,5.1701,
1931-09-01,,,,,4.9277,
1931-10-01,,,,,4.7392,
1931-11-01,,,,,4.6854,
1931-12-01,,,,,4.6585,
1932-01-01,,,,,4.5238,
1932-02-01,,,,,4.4161,
1932-03-01,,,,,4.3623,
1932-04-01,,,,,4.0661,
1932-05-01,,,,,3.9314,
1932-06-01,,,,,3.7968,
1932-07-01,,,,,3.6891,
1932-08-01,,,,,3.7968,
1932-09-01,,,,,4.0391,
1932-10-01,,,,,4.1738,
1932-11-01,,,,,4.1738,
1932-12-01,,,,,4.093,
1933-01-01,,,,,4.0122,
1933-02-01,,,,,4.0391,
1933-03-01,,,,,3.7968,
1933-04-01,,,,,4.0661,
1933-05-01,,,,,4.7392,
1933-06-01,,,,,5.4663,
1933-07-01,,,,,5.9779,
1933-08-01,,,,,5.7356,
1933-09-01,,,,,5.4124,
1933-10-01,,,,,5.1432,
1933-11-01,,,,,4.847,
1933-12-01,,,,,4.8739,
1934-01-01,,,,,5.0354,
1934-02-01,,,,,5.2778,
1934-03-01,,,,,5.5201,
1934-04-01,,,,,5.5201,
1934-05-01,,,,,5.6278,
1934-06-01,,,,,5.5201,
1934-07-01,,,,,5.1432,
1934-08-01,,,,,5.0893,
1934-09-01,,,,,4.7931,
1934-10-01,,,,,5.0085,
1934-11-01,,,,,5.0624,
1934-12-01,,,,,5.3855,
1935-01-01,,,,,5.8163,
1935-02-01,,,,,5.9241,
1935-03-01,,,,,5.8971,
1935-04-01,,,,,5.7894,
1935-05-01,,,,,5.7894,
1935-06-01,,,,,5.8702,
1935-07-01,,,,,5.8702,
1935-08-01,,,,,6.0856,
1935-09-01,,,,,6.2472,
1935-10-01,,,,,6.4357,
1935-11-01,,,,,6.5703,
1935-12-01,,,,,6.6511,
1936-01-01,,,,,6.5434,
1936-02-01,,,,,6.3818,
1936-03-01,,,,,6.4626,
1936-04-01,,,,,6.8665,
1936-05-01,,,,,7.0012,
1936-06-01,,,,,7.1358,
1936-07-01,,,,,7.2704,
1936-08-01,,,,,7.3781,
1936-09-01,,,,,7.5128,
1936-10-01,,,,,7.6205,
1936-11-01,,,,,7.8359,
1936-12-01,,,,,8.0783,
1937-01-01,,,,,8.0513,
1937-02-01,,,,,8.159,
1937-03-01,,,,,8.3475,
1937-04-01,,,,,8.3475,
1937-05-01,,,,,8.3745,
1937-06-01,,,,,8.2667,
1937-07-01,,,,,8.3206,
1937-08-01,,,,,8.2667,
1937-09-01,,,,,7.9975,
1937-10-01,,,,,7.4051,
1937-11-01,,,,,6.678,
1937-12-01,,,,,6.0856,
1938-01-01,,,,,5.951,
1938-02-01,,,,,5.8971,
1938-03-01,,,,,5.8971,
1938-04-01,,,,,5.7894,
1938-05-01,,,,,5.6548,
1938-06-01,,,,,5.7086,
1938-07-01,,,,,6.0318,
1938-08-01,,,,,6.3549,
1938-09-01,,,,,6.5434,
1938-10-01,,,,,6.705,
1938-11-01,,,,,6.9742,
1938-12-01,,,,,7.055,
1939-01-01,,,,,7.055,29923.0
1939-02-01,,,,,7.1089,30100.0
1939-03-01,,,,,7.1358,30280.0
1939-04-01,,,,,7.1089,30094.0
1939-05-01,,,,,7.0819,30299.0
1939-06-01,,,,,7.2435,30502.0
1939-07-01,,,,,7.4589,30419.0
1939-08-01,,,,,7.5666,30663.0
1939-09-01,,,,,8.0244,31031.0
1939-10-01,,,,,8.4283,31411.0
1939-11-01,,,,,8.6437,31470.0
1939-12-01,,,,,8.6437,31542.0
1940-01-01,,,,,8.536,31603.0
1940-02-01,,,,,8.2667,31715.0
1940-03-01,,,,,8.0783,31825.0
1940-04-01,,,,,8.2398,31701.0
1940-05-01,,,,,8.4822,31879.0
1940-06-01,,,,,8.7514,31977.0
1940-07-01,,,,,8.8592,31942.0
1940-08-01,,,,,8.913,32352.0
1940-09-01,,,,,9.1015,32810.0
1940-10-01,,,,,9.2361,33267.0
1940-11-01,,,,,9.4516,33669.0
1940-12-01,,,,,9.7747,34174.0
1941-01-01,,,,,10.017,34481.0
1941-02-01,,,,,10.3132,34843.0
1941-03-01,,,,,10.6364,35092.0
1941-04-01,,,,,10.6633,35468.0
1941-05-01,,,,,11.148,36182.0
1941-06-01,,,,,11.2288,36650.0
1941-07-01,,,,,11.3634,37137.0
1941-08-01,,,,,11.4981,37544.0
1941-09-01,,,,,11.4981,37835.0
1941-10-01,,,,,11.6058,37949.0
1941-11-01,,,,,11.6596,38024.0
1941-12-01,,,,,11.8481,38104.0
1942-01-01,,,,,12.0905,38347.0
1942-02-01,,,,,12.3059,38512.0
1942-03-01,,,,,12.4405,38935.0
1942-04-01,,,,,12.0905,39352.0
1942-05-01,,,,,12.1174,39771.0
1942-06-01,,,,,12.1443,40029.0
1942-07-01,,,,,12.4405,40472.0
1942-08-01,,,,,12.8175,40988.0
1942-09-01,,,,,13.1137,41259.0
1942-10-01,,,,,13.5445,41515.0
1942-11-01,,,,,13.8677,41674.0
1942-12-01,,,,,14.1908,41915.0
1943-01-01,,,,,14.3255,42172.0
1943-02-01,,,,,14.7024,42393.0
1943-03-01,,,,,14.8102,42552.0
1943-04-01,,,,,14.9986,42647.0
1943-05-01,,,,,15.1063,42596.0
1943-06-01,,,,,15.0256,42781.0
1943-07-01,,,,,15.4833,42700.0
1943-08-01,,,,,15.8064,42546.0
1943-09-01,,,,,16.2104,42492.0
1943-10-01,,,,,16.4527,42675.0
1943-11-01,,,,,16.6681,42821.0
1943-12-01,,,,,16.4527,42746.0
1944-01-01,,,,,16.6412,42654.0
1944-02-01,,,,,16.7758,42538.0
1944-03-01,,,,,16.7489,42294.0
1944-04-01,,,,,16.7489,42063.0
1944-05-01,,,,,16.6412,41985.0
1944-06-01,,,,,16.5874,41947.0
1944-07-01,,,,,16.5604,41904.0
1944-08-01,,,,,16.7758,41850.0
1944-09-01,,,,,16.6681,41679.0
1944-10-01,,,,,16.722,41708.0
1944-11-01,,,,,16.5873,41711.0
1944-12-01,,,,,16.5335,41860.0
1945-01-01,,,,,16.3719,41895.0
1945-02-01,,,,,16.3181,41897.0
1945-03-01,,,,,16.2104,41798.0
1945-04-01,,,,,15.9142,41446.0
1945-05-01,,,,,15.4833,41304.0
1945-06-01,,,,,15.1333,41149.0
1945-07-01,,,,,14.7832,40874.0
1945-08-01,,,,,13.2483,40466.0
1945-09-01,,,,,12.0635,38507.0
1945-10-01,,,,,11.5788,38600.0
1945-11-01,,,,,12.0097,38996.0
1945-12-01,,,,,12.0635,39110.0
1946-01-01,,,,,11.3903,39829.0
1946-02-01,,,,,10.8249,39244.0
1946-03-01,,,,,11.9558,40195.0
1946-04-01,,,,,11.7404,40913.0
1946-05-01,,,,,11.3096,41349.0
1946-06-01,,,,,12.0097,41735.0
1946-07-01,,,,,12.4136,42153.0
1946-08-01,,,,,12.8714,42642.0
1946-09-01,,,,,13.1137,42915.0
1946-10-01,,,,,13.356,43093.0
1946-11-01,,,,,13.4368,43395.0
1946-12-01,,,,,13.5176,43379.0
1947-01-01,21.48,,,,13.6792,43535.0
1947-02-01,21.62,,,,13.76,43557.0
1947-03-01,22.0,,,,13.8407,43607.0
1947-04-01,22.0,,,,13.733,43499.0
1947-05-01,21.95,,,,13.7869,43638.0
1947-06-01,22.08,,,,13.7869,43810.0
1947-07-01,22.23,,,,13.7061,43743.0
1947-08-01,22.4,,,,13.7869,43960.0
1947-09-01,22.84,,,,13.8946,44203.0
1947-10-01,22.91,,,,14.0292,44411.0
1947-11-01,23.06,,,,14.2177,44484.0
1947-12-01,23.41,,,,14.2716,44581.0
1948-01-01,23.68,,,,14.3524,44679.0
1948-02-01,23.67,,,,14.3793,44533.0
1948-03-01,23.5,,,,14.2177,44683.0
1948-04-01,23.82,,,,14.2447,44379.0
1948-05-01,24.01,,,,14.487,44796.0
1948-06-01,24.15,,,,14.6755,45034.0
1948-07-01,24.4,,,,14.6755,45160.0
1948-08-01,24.43,,,,14.6216,45178.0
1948-09-01,24.36,,,,14.5139,45294.0
1948-10-01,24.31,,,,14.6217,45245.0
1948-11-01,24.16,,,,14.4332,45192.0
1948-12-01,24.05,,,,14.2985,45032.0
1949-01-01,24.01,,,,14.1639,44668.0
1949-02-01,23.91,,,,14.0292,44497.0
1949-03-01,23.91,,,,13.76,44240.0
1949-04-01,23.92,,,,13.6792,44236.0
1949-05-01,23.91,,,,13.4907,43984.0
1949-06-01,23.92,,,,13.4638,43739.0
1949-07-01,23.7,,,,13.4368,43531.0
1949-08-01,23.7,,,,13.5715,43624.0
1949-09-01,23.75,,,,13.7061,43780.0
1949-10-01,23.67,,,,13.1945,42942.0
1949-11-01,23.7,,,,13.5446,43242.0
1949-12-01,23.61,,,,13.7869,43522.0
1950-01-01,23.51,,,,14.0292,43526.0
1950-02-01,23.61,,,,14.0831,43297.0
1950-03-01,23.64,,,,14.5409,43954.0
1950-04-01,23.65,,,,15.0255,44382.0
1950-05-01,23.77,,,,15.3756,44718.0
1950-06-01,23.88,,,,15.8334,45083.0
1950-07-01,24.07,,,,16.345,45454.0
1950-08-01,24.2,,,,16.8566,46192.0
1950-09-01,24.34,,,,16.7489,46438.0
1950-10-01,24.5,,,,16.8566,46706.0
1950-11-01,24.6,,,,16.8297,46776.0
1950-12-01,24.98,,,,17.1259,46861.0
1951-01-01,25.38,,,,17.1797,47288.0
1951-02-01,25.83,,,,17.2875,47577.0
1951-03-01,25.88,,,,17.3682,47873.0
1951-04-01,25.92,,,,17.3952,47861.0
1951-05-01,25.99,,,,17.3413,47952.0
1951-06-01,25.93,,,,17.2605,48064.0
1951-07-01,25.91,,,,16.9913,48061.0
1951-08-01,25.86,,,,16.8297,48012.0
1951-09-01,26.03,,,,16.9374,47954.0
1951-10-01,26.16,,,,16.9105,48006.0
1951-11-01,26.32,,,,17.0451,48147.0
1951-12-01,26.47,,,,17.1528,48314.0
1952-01-01,26.45,,,,17.3413,48296.0
1952-02-01,26.41,,,,17.449,48522.0
1952-03-01,26.39,,,,17.5029,48504.0
1952-04-01,26.46,,,,17.3413,48620.0
1952-05-01,26.47,,,,17.1798,48642.0
1952-06-01,26.53,,,,17.0182,48282.0
1952-07-01,26.68,,,,16.7489,48143.0
1952-08-01,26.69,,,,17.826,48924.0
1952-09-01,26.63,,,,18.4723,49320.0
1952-10-01,26.69,,,,18.6608,49597.0
1952-11-01,26.69,,,,19.0378,49816.0
1952-12-01,26.71,,,,19.1455,50166.0
1953-01-01,26.64,,,,19.1993,50144.0
1953-02-01,26.59,,,,19.307,50339.0
1953-03-01,26.63,,,,19.4686,50473.0
1953-04-01,26.69,,,,19.5494,50435.0
1953-05-01,26.7,,,,19.6571,50490.0
1953-06-01,26.77,,,,19.5763,50519.0
1953-07-01,26.79,,,,19.8187,50536.0
1953-08-01,26.85,,,,19.7109,50489.0
1953-09-01,26.89,,,,19.307,50368.0
1953-10-01,26.95,,,,19.1455,50240.0
1953-11-01,26.85,,,,18.6877,49908.0
1953-12-01,26.87,,,,18.2299,49703.0
1954-01-01,26.94,,,,18.0953,49469.0
1954-02-01,26.99,,,,18.1492,49382.0
1954-03-01,26.93,,,,18.0414,49157.0
1954-04-01,26.86,,,,17.9337,49179.0
1954-05-01,26.93,,,,18.0414,48965.0
1954-06-01,26.94,,,,18.0953,48895.0
1954-07-01,26.86,,,,18.1222,48835.0
1954-08-01,26.85,,,,18.0953,48826.0
1954-09-01,26.81,,,,18.1222,48886.0
1954-10-01,26.72,,,,18.3377,48942.0
1954-11-01,26.78,,,,18.6338,49180.0
1954-12-01,26.77,,,,18.8762,49331.0
1955-01-01,26.77,,,,19.307,49496.0
1955-02-01,26.82,,,,19.5494,49644.0
1955-03-01,26.79,,,,20.0071,49962.0
1955-04-01,26.79,,,,20.2495,50248.0
1955-05-01,26.77,,,,20.5726,50512.0
1955-06-01,26.71,,,,20.5996,50790.0
1955-07-01,26.76,,,,20.7611,50987.0
1955-08-01,26.72,,,,20.7342,51111.0
1955-09-01,26.85,,,,20.8688,51266.0
1955-10-01,26.82,,,,21.2189,51429.0
1955-11-01,26.88,,,,21.2727,51592.0
1955-12-01,26.87,,,,21.3535,51805.0
1956-01-01,26.83,,,,21.4882,51975.0
1956-02-01,26.86,,,,21.2997,52167.0
