,CPI,Core_CPI,Core_PCE,Retail_Sales,Industrial_Production,Nonfarm_Payrolls
1970-08-01,39.0,41.1,20.597,,37.6818,70937.0
1970-09-01,39.2,41.3,20.683,,37.4221,70944.0
1970-10-01,39.4,41.5,20.785,,36.6735,70521.0
1970-11-01,39.6,41.8,20.892,,36.4514,70409.0
1970-12-01,39.8,42.0,20.997,,37.2885,70792.0
1971-01-01,39.9,42.1,21.08,,37.5753,70865.0
1971-02-01,39.9,42.2,21.16,,37.5037,70807.0
1971-03-01,40.0,42.2,21.228,,37.4631,70860.0
1971-04-01,40.1,42.4,21.307,,37.6735,71036.0
1971-05-01,40.3,42.6,21.4,,37.8646,71247.0
1971-06-01,40.5,42.8,21.485,,38.0234,71254.0
1971-07-01,40.6,42.9,21.567,,37.9131,71315.0
1971-08-01,40.7,43.0,21.597,,37.693,71373.0
1971-09-01,40.8,43.0,21.633,,38.3056,71614.0
1971-10-01,40.9,43.1,21.667,,38.5924,71642.0
1971-11-01,41.0,43.2,21.716,,38.7561,71847.0
1971-12-01,41.1,43.3,21.784,,39.2035,72109.0
1972-01-01,41.2,43.5,21.877,,40.1408,72441.0
1972-02-01,41.4,43.6,21.936,,40.5459,72648.0
1972-03-01,41.4,43.6,21.979,,40.8263,72944.0
1972-04-01,41.5,43.8,22.03,,41.2348,73162.0
1972-05-01,41.6,43.9,22.081,,41.2405,73469.0
1972-06-01,41.7,44.0,22.126,,41.3497,73758.0
1972-07-01,41.8,44.1,22.189,,41.3035,73709.0
1972-08-01,41.9,44.3,22.236,,41.879,74141.0
1972-09-01,42.1,44.3,22.31,,42.2132,74264.0
1972-10-01,42.2,44.4,22.323,,42.7494,74674.0
1972-11-01,42.4,44.4,22.382,,43.2548,74973.0
1972-12-01,42.5,44.6,22.449,,43.7367,75268.0
1973-01-01,42.7,44.6,22.463,,44.0529,75617.0
1973-02-01,43.0,44.8,22.534,,44.6827,76014.0
1973-03-01,43.4,45.0,22.625,,44.7045,76284.0
1973-04-01,43.7,45.1,22.756,,44.6387,76455.0
1973-05-01,43.9,45.3,22.844,,44.9429,76648.0
1973-06-01,44.2,45.4,22.943,,45.0035,76887.0
1973-07-01,44.2,45.5,23.041,,45.1636,76913.0
1973-08-01,45.0,45.7,23.148,,45.1019,77168.0
1973-09-01,45.2,46.0,23.265,,45.4624,77276.0
1973-10-01,45.6,46.3,23.355,,45.847,77607.0
1973-11-01,45.9,46.5,23.468,,46.0553,77920.0
1973-12-01,46.3,46.7,23.598,,45.923,78031.0
1974-01-01,46.8,46.9,23.714,,45.6204,78100.0
1974-02-01,47.3,47.2,23.865,,45.4759,78254.0
1974-03-01,47.8,47.6,24.051,,45.4777,78296.0
1974-04-01,48.1,47.9,24.231,,45.3451,78382.0
1974-05-01,48.6,48.5,24.464,,45.7044,78549.0
1974-06-01,49.0,49.0,24.715,,45.6238,78604.0
1974-07-01,49.3,49.5,24.934,,45.7221,78636.0
1974-08-01,49.9,50.2,25.174,,45.2366,78619.0
1974-09-01,50.6,50.7,25.4,,45.2365,78610.0
1974-10-01,51.0,51.2,25.599,,45.1133,78630.0
1974-11-01,51.5,51.6,25.786,,43.6278,78265.0
1974-12-01,51.9,52.0,25.968,,42.0533,77652.0
1975-01-01,52.3,52.3,26.119,,41.4676,77293.0
1975-02-01,52.6,52.8,26.304,,40.5165,76918.0
1975-03-01,52.8,53.0,26.441,,40.0638,76648.0
1975-04-01,53.0,53.3,26.57,,40.1573,76460.0
1975-05-01,53.1,53.5,26.683,,40.0253,76624.0
1975-06-01,53.5,53.8,26.813,,40.2772,76521.0
1975-07-01,54.0,54.0,26.978,,40.6994,76770.0
1975-08-01,54.2,54.2,27.071,,41.0998,77153.0
1975-09-01,54.6,54.5,27.218,,41.6304,77228.0
1975-10-01,54.9,54.8,27.354,,41.8135,77540.0
1975-11-01,55.3,55.2,27.535,,41.8697,77685.0
1975-12-01,55.6,55.5,27.702,,42.4414,78017.0
1976-01-01,55.8,55.9,27.844,,43.0012,78503.0
1976-02-01,55.9,56.2,27.955,,43.4229,78816.0
1976-03-01,56.0,56.5,28.047,,43.5168,79048.0
1976-04-01,56.1,56.7,28.157,,43.7327,79292.0
1976-05-01,56.4,57.0,28.29,,43.9186,79312.0
1976-06-01,56.7,57.2,28.405,,43.9637,79376.0
1976-07-01,57.0,57.6,28.561,,44.2141,79547.0
1976-08-01,57.3,57.9,28.726,,44.5182,79704.0
1976-09-01,57.6,58.2,28.894,,44.6721,79892.0
1976-10-01,57.9,58.5,29.036,,44.6585,79911.0
1976-11-01,58.1,58.7,29.168,,45.3392,80240.0
1976-12-01,58.4,58.9,29.326,,45.8294,80448.0
1977-01-01,58.7,59.3,29.505,,45.5087,80690.0
1977-02-01,59.3,59.7,29.686,,46.2277,80988.0
1977-03-01,59.6,60.0,29.812,,46.8185,81391.0
1977-04-01,60.0,60.3,29.959,,47.2684,81728.0
1977-05-01,60.2,60.6,30.112,,47.6411,82088.0
1977-06-01,60.5,61.0,30.292,,48.0116,82488.0
1977-07-01,60.8,61.2,30.479,,48.073,82834.0
1977-08-01,61.1,61.5,30.629,,48.1205,83075.0
1977-09-01,61.3,61.8,30.758,,48.3189,83532.0
1977-10-01,61.6,62.0,30.907,,48.3871,83800.0
1977-11-01,62.0,62.3,31.067,,48.4761,84173.0
1977-12-01,62.3,62.7,31.227,,48.5629,84410.0
1978-01-01,62.7,63.1,31.414,,47.8481,84594.0
1978-02-01,63.0,63.4,31.535,,48.1044,84948.0
1978-03-01,63.4,63.8,31.706,,49.0265,85460.0
1978-04-01,63.9,64.3,31.911,,50.0206,86162.0
1978-05-01,64.5,64.7,32.099,,50.254,86509.0
1978-06-01,65.0,65.2,32.278,,50.5801,86950.0
1978-07-01,65.5,65.6,32.468,,50.5384,87204.0
1978-08-01,65.9,66.1,32.642,,50.7458,87483.0
1978-09-01,66.5,66.7,32.83,,50.8744,87621.0
1978-10-01,67.1,67.2,33.071,,51.2559,87956.0
1978-11-01,67.5,67.6,33.249,,51.6514,88391.0
1978-12-01,67.9,68.0,33.378,,51.909,88671.0
1979-01-01,68.5,68.5,33.549,,51.6278,88808.0
1979-02-01,69.2,69.2,33.659,,51.8752,89055.0
1979-03-01,69.9,69.8,33.852,,52.0446,89479.0
1979-04-01,70.6,70.3,34.165,,51.4193,89417.0
1979-05-01,71.4,70.8,34.462,,51.8856,89789.0
1979-06-01,72.2,71.3,34.655,,51.8965,90108.0
1979-07-01,73.0,71.9,34.829,,51.8097,90217.0
1979-08-01,73.7,72.7,35.06,,51.4684,90300.0
1979-09-01,74.4,73.3,35.299,,51.4597,90327.0
1979-10-01,75.2,74.0,35.557,,51.8334,90481.0
1979-11-01,76.0,74.8,35.784,,51.7531,90573.0
1979-12-01,76.9,75.7,36.041,,51.7878,90672.0
1980-01-01,78.0,76.7,36.315,,52.0679,90800.0
1980-02-01,79.0,77.5,36.677,,52.082,90883.0
1980-03-01,80.1,78.6,37.017,,51.87,90994.0
1980-04-01,80.9,79.5,37.207,,50.8397,90849.0
1980-05-01,81.7,80.1,37.507,,49.589,90420.0
1980-06-01,82.5,81.0,37.756,,48.9482,90101.0
1980-07-01,82.6,80.8,38.021,,48.6039,89840.0
1980-08-01,83.2,81.3,38.296,,48.7563,90099.0
1980-09-01,83.9,82.1,38.657,,49.5608,90213.0
1980-10-01,84.7,83.0,38.975,,50.1908,90490.0
1980-11-01,85.6,83.9,39.282,,51.0311,90747.0
1980-12-01,86.4,84.9,39.518,,51.3708,90943.0
1981-01-01,87.2,85.4,39.861,,51.0415,91033.0
1981-02-01,88.0,85.9,40.152,,50.824,91105.0
1981-03-01,88.6,86.4,40.375,,51.0826,91210.0
1981-04-01,89.1,87.0,40.633,,50.858,91283.0
1981-05-01,89.7,87.8,40.913,,51.1495,91296.0
1981-06-01,90.5,88.6,41.117,,51.4101,91490.0
1981-07-01,91.5,89.8,41.365,,51.7471,91601.0
1981-08-01,92.2,90.7,41.642,,51.6826,91565.0
1981-09-01,93.1,91.8,41.915,,51.4337,91477.0
1981-10-01,93.4,92.1,42.165,,51.0281,91380.0
1981-11-01,93.8,92.5,42.411,,50.435,91171.0
1981-12-01,94.1,93.0,42.568,,49.8987,90895.0
1982-01-01,94.4,93.3,42.829,,48.8685,90565.0
1982-02-01,94.7,93.8,42.994,,49.8636,90563.0
1982-03-01,94.7,93.9,43.182,,49.5323,90434.0
1982-04-01,95.0,94.7,43.353,,49.075,90150.0
1982-05-01,95.9,95.4,43.589,,48.7483,90107.0
1982-06-01,97.0,96.1,43.808,,48.6214,89865.0
1982-07-01,97.5,96.7,44.092,,48.4616,89521.0
1982-08-01,97.7,97.1,44.295,,48.0192,89363.0
1982-09-01,97.7,97.2,44.459,,47.9008,89183.0
1982-10-01,98.1,97.5,44.741,,47.4371,88907.0
1982-11-01,98.0,97.3,44.906,,47.283,88786.0
1982-12-01,97.7,97.2,45.049,,46.9485,88771.0
1983-01-01,97.9,97.6,45.357,,47.8234,88990.0
1983-02-01,98.0,98.0,45.525,,47.5233,88917.0
1983-03-01,98.1,98.2,45.583,,47.9244,89090.0
1983-04-01,98.8,98.6,45.721,,48.5311,89364.0
1983-05-01,99.2,98.9,45.787,,48.8239,89644.0
1983-06-01,99.4,99.2,46.001,,49.123,90021.0
1983-07-01,99.8,99.8,46.311,,49.8546,90437.0
1983-08-01,100.1,100.1,46.55,,50.4443,90129.0
1983-09-01,100.4,100.5,46.738,,51.178,91247.0
1983-10-01,100.8,101.0,46.821,,51.5693,91520.0
1983-11-01,101.1,101.5,46.93,,51.7993,91875.0
1983-12-01,101.4,101.8,46.965,,52.0594,92230.0
1984-01-01,102.1,102.5,47.121,,53.0985,92673.0
1984-02-01,102.6,102.8,47.418,,53.3318,93157.0
1984-03-01,102.9,103.2,47.598,,53.5929,93429.0
1984-04-01,103.3,103.7,47.822,,53.91,93792.0
1984-05-01,103.5,104.1,47.933,,54.2026,94098.0
1984-06-01,103.7,104.5,48.046,,54.4014,94479.0
1984-07-01,104.1,105.0,48.253,,54.5521,94789.0
1984-08-01,104.4,105.4,48.412,,54.6083,95032.0
1984-09-01,104.7,105.8,48.486,,54.4466,95344.0
1984-10-01,105.1,106.2,48.595,,54.4406,95629.0
1984-11-01,105.3,106.4,48.698,,54.624,95982.0
1984-12-01,105.5,106.8,48.891,,54.6416,96107.0
1985-01-01,105.7,107.1,49.165,,54.6322,96372.0
1985-02-01,106.3,107.7,49.42,,54.7825,96503.0
1985-03-01,106.8,108.1,49.593,,54.8653,96842.0
1985-04-01,107.0,108.4,49.652,,54.7459,97038.0
1985-05-01,107.2,108.8,49.823,,54.8255,97312.0
1985-06-01,107.5,109.1,49.988,,54.7989,97459.0
1985-07-01,107.7,109.4,50.134,,54.5396,97648.0
1985-08-01,107.9,109.8,50.38,,54.7055,97840.0
1985-09-01,108.1,110.0,50.484,,54.8906,98045.0
1985-10-01,108.5,110.5,50.565,,54.7199,98233.0
1985-11-01,109.0,111.1,50.689,,54.9124,98443.0
1985-12-01,109.5,111.4,50.827,,55.4412,98609.0
1986-01-01,109.9,111.9,51.101,,55.7481,98732.0
1986-02-01,109.7,112.2,51.233,,55.3568,98847.0
1986-03-01,109.1,112.5,51.389,,54.9625,98934.0
1986-04-01,108.7,112.9,51.482,,55.0413,99121.0
1986-05-01,109.0,113.1,51.57,,55.1226,99248.0
1986-06-01,109.4,113.4,51.725,,54.9005,99155.0
1986-07-01,109.5,113.8,51.819,,55.2592,99473.0
1986-08-01,109.6,114.2,51.925,,55.1567,99588.0
1986-09-01,110.0,114.6,52.096,,55.2975,99934.0
1986-10-01,110.2,115.0,52.273,,55.5332,100121.0
1986-11-01,110.4,115.3,52.384,,55.7557,100308.0
1986-12-01,110.8,115.6,52.452,,56.2845,100509.0
1987-01-01,111.4,115.9,52.578,,56.0882,100678.0
1987-02-01,111.8,116.2,52.685,,56.8275,100919.0
1987-03-01,112.2,116.6,52.841,,56.9098,101164.0
1987-04-01,112.7,117.3,53.065,,57.2701,101499.0
1987-05-01,113.0,117.7,53.214,,57.6322,101728.0
1987-06-01,113.5,117.9,53.36,,57.9307,101900.0
1987-07-01,113.8,118.3,53.498,,58.3258,102247.0
1987-08-01,114.3,118.7,53.679,,58.7636,102420.0
1987-09-01,114.7,119.2,53.892,,58.9951,102647.0
1987-10-01,115.0,119.8,54.122,,59.781,103138.0
1987-11-01,115.4,120.1,54.235,,60.0726,103372.0
1987-12-01,115.6,120.4,54.349,,60.4095,103661.0
1988-01-01,116.0,120.9,54.606,,60.3976,103753.0
1988-02-01,116.2,121.2,54.718,,60.7003,104214.0
1988-03-01,116.5,121.7,54.952,,60.8501,104489.0
1988-04-01,117.2,122.3,55.219,,61.2031,104732.0
1988-05-01,117.5,122.7,55.407,,61.0797,104962.0
1988-06-01,118.0,123.2,55.641,,61.2569,105326.0
1988-07-01,118.5,123.6,55.868,,61.2659,105550.0
1988-08-01,119.0,124.0,56.007,,61.5731,105674.0
1988-09-01,119.5,124.7,56.307,,61.3807,106013.0
1988-10-01,119.9,125.2,56.521,,61.6453,106276.0
1988-11-01,120.3,125.6,56.676,,61.7944,106617.0
1988-12-01,120.7,126.0,56.864,,62.0743,106898.0
1989-01-01,121.2,126.5,57.152,,62.2574,107161.0
1989-02-01,121.6,126.9,57.297,,61.9819,107427.0
1989-03-01,122.2,127.4,57.468,,62.1369,107621.0
1989-04-01,123.1,127.8,57.661,,62.1276,107791.0
1989-05-01,123.7,128.3,57.833,,61.7744,107913.0
1989-06-01,124.1,128.8,57.987,,61.7697,108027.0
1989-07-01,124.5,129.2,58.136,,61.1738,108069.0
1989-08-01,124.5,129.5,58.217,,61.7732,108120.0
1989-09-01,124.8,129.9,58.419,,61.5796,108369.0
1989-10-01,125.4,130.6,58.631,,61.4966,108476.0
1989-11-01,125.9,131.1,58.787,,61.7044,108752.0
1989-12-01,126.3,131.6,58.954,,62.0428,108836.0
1990-01-01,127.5,132.1,59.181,,61.729,109196.0
1990-02-01,128.0,132.7,59.468,,62.2896,109436.0
1990-03-01,128.6,133.5,59.754,,62.5999,109640.0
1990-04-01,128.9,134.0,59.932,,62.4359,109674.0
1990-05-01,129.1,134.4,60.115,,62.6258,109828.0
1990-06-01,129.9,135.1,60.349,,62.8382,109850.0
1990-07-01,130.5,135.8,60.501,,62.7284,109815.0
1990-08-01,131.6,136.6,60.753,,62.9475,109606.0
1990-09-01,132.5,137.1,60.965,,62.9523,109523.0
1990-10-01,133.4,137.6,61.172,,62.5845,109377.0
1990-11-01,133.7,138.0,61.246,,61.7887,109222.0
1990-12-01,134.2,138.6,61.331,,61.3352,109168.0
1991-01-01,134.7,139.5,61.637,,61.1355,109058.0
1991-02-01,134.8,140.2,61.807,,60.6838,108735.0
1991-03-01,134.8,140.5,61.936,,60.3346,108568.0
1991-04-01,135.1,140.9,62.06,,60.4938,108350.0
1991-05-01,135.6,141.3,62.307,,61.0633,108253.0
1991-06-01,136.0,141.8,62.442,,61.5581,108330.0
1991-07-01,136.2,142.3,62.632,,61.7305,108290.0
1991-08-01,136.6,142.9,62.804,,61.7298,108299.0
1991-09-01,137.0,143.4,63.055,,62.2195,108335.0
1991-10-01,137.2,143.7,63.194,,62.1855,108361.0
1991-11-01,137.8,144.2,63.312,,62.0871,108300.0
1991-12-01,138.2,144.7,63.468,,61.7852,108330.0
1992-01-01,138.3,145.1,63.641,159177.0,61.4616,108365.0
1992-02-01,138.6,145.4,63.814,159189.0,61.8955,108313.0
1992-03-01,139.1,145.9,63.973,158647.0,62.4232,108367.0
1992-04-01,139.4,146.3,64.183,159921.0,62.897,108517.0
1992-05-01,139.7,146.8,64.273,160471.0,63.104,108647.0
1992-06-01,140.1,147.1,64.323,161205.0,63.1363,108707.0
1992-07-01,140.5,147.6,64.566,162855.0,63.7176,108792.0
1992-08-01,140.8,147.9,64.625,162412.0,63.3613,108916.0
1992-09-01,141.1,148.1,64.73,164361.0,63.5703,108952.0
1992-10-01,141.7,148.8,64.979,166063.0,63.9995,109138.0
1992-11-01,142.1,149.2,65.121,166124.0,64.2422,109283.0
1992-12-01,142.3,149.6,65.242,167691.0,64.3507,109502.0
1993-01-01,142.8,150.1,65.432,169500.0,64.5978,109790.0
1993-02-01,143.1,150.6,65.557,168840.0,64.9089,110048.0
1993-03-01,143.3,150.8,65.7,167682.0,64.8522,110004.0
1993-04-01,143.8,151.4,65.891,172102.0,65.0301,110300.0
1993-05-01,144.2,151.8,66.114,172960.0,64.784,110571.0
1993-06-01,144.3,152.1,66.177,173018.0,64.9301,110742.0
1993-07-01,144.5,152.3,66.314,175822.0,65.1052,111054.0
1993-08-01,144.8,152.8,66.438,175233.0,65.0267,111200.0
1993-09-01,145.0,152.9,66.538,176608.0,65.3717,111449.0
1993-10-01,145.6,153.4,66.647,177588.0,65.8509,111734.0
1993-11-01,146.0,153.9,66.819,179758.0,66.1518,111988.0
1993-12-01,146.3,154.3,66.849,181077.0,66.5436,112324.0
1994-01-01,146.3,154.5,66.902,179615.0,66.7351,112601.0
1994-02-01,146.7,154.8,67.047,183101.0,66.774,112782.0
1994-03-01,147.1,155.3,67.275,186721.0,67.4552,113245.0
1994-04-01,147.2,155.5,67.376,186423.0,67.8541,113589.0
1994-05-01,147.5,155.9,67.526,185616.0,68.1663,113922.0
1994-06-01,147.9,156.4,67.676,187800.0,68.6265,114239.0
1994-07-01,148.4,156.7,67.818,188062.0,68.7178,114608.0
1994-08-01,149.0,157.1,67.894,190771.0,69.1785,114903.0
1994-09-01,149.3,157.5,67.997,192585.0,69.3961,115247.0
1994-10-01,149.4,157.8,68.157,193914.0,69.9544,115457.0
1994-11-01,149.8,158.2,68.282,194425.0,70.4326,115868.0
1994-12-01,150.1,158.3,68.305,194939.0,71.1523,116173.0
1995-01-01,150.5,159.0,68.475,195908.0,71.2734,116505.0
1995-02-01,150.9,159.4,68.587,193068.0,71.193,116694.0
1995-03-01,151.2,159.9,68.755,195179.0,71.3113,116908.0
1995-04-01,151.8,160.4,68.915,195310.0,71.1882,117065.0
1995-05-01,152.1,160.7,69.032,198060.0,71.5378,117047.0
1995-06-01,152.4,161.1,69.092,200383.0,71.7749,117291.0
1995-07-01,152.6,161.4,69.201,199110.0,71.4748,117382.0
1995-08-01,152.9,161.8,69.367,201078.0,72.4223,117646.0
1995-09-01,153.1,162.2,69.458,201337.0,72.7144,117873.0
1995-10-01,153.5,162.7,69.627,200597.0,72.5866,118026.0
1995-11-01,153.7,163.0,69.672,203545.0,72.7779,118165.0
1995-12-01,153.9,163.1,69.77,204032.0,73.0305,118325.0
1996-01-01,154.7,163.7,69.849,203793.0,72.6125,118317.0
1996-02-01,155.0,164.0,69.94,206875.0,73.6752,118737.0
1996-03-01,155.5,164.4,70.102,207650.0,73.585,118992.0
1996-04-01,156.1,164.6,70.197,209294.0,74.3172,119158.0
1996-05-01,156.4,165.0,70.319,211157.0,74.8726,119496.0
1996-06-01,156.7,165.4,70.373,209474.0,75.4433,119770.0
1996-07-01,157.0,165.7,70.505,210827.0,75.4549,120019.0
1996-08-01,157.2,166.0,70.566,210846.0,75.8411,120198.0
1996-09-01,157.7,166.5,70.78,213233.0,76.3158,120400.0
1996-10-01,158.2,166.8,70.948,215526.0,76.3384,120665.0
1996-11-01,158.7,167.2,71.041,215167.0,77.0397,120947.0
1996-12-01,159.1,167.4,71.068,215690.0,77.5333,121143.0
1997-01-01,159.4,167.8,71.144,218124.0,77.6562,121357.0
1997-02-01,159.7,168.1,71.29,219587.0,78.5833,121674.0
1997-03-01,159.8,168.4,71.46,221189.0,79.082,121991.0
1997-04-01,159.9,168.9,71.6,217925.0,79.1747,122288.0
1997-05-01,159.9,169.2,71.652,217771.0,79.6133,122560.0
1997-06-01,160.2,169.4,71.758,220233.0,79.9792,122816.0
1997-07-01,160.4,169.7,71.807,222985.0,80.6624,123114.0
1997-08-01,160.8,169.8,71.778,223120.0,81.4694,123086.0
1997-09-01,161.2,170.2,71.927,224509.0,82.2156,123575.0
1997-10-01,161.5,170.6,72.036,224300.0,82.9446,123924.0
1997-11-01,161.7,170.8,72.058,223718.0,83.5978,124226.0
1997-12-01,161.8,171.2,72.1,225236.0,83.9538,124549.0
1998-01-01,162.0,171.6,72.21,225954.0,84.3218,124806.0
1998-02-01,162.0,171.9,72.272,225746.0,84.4583,125017.0
1998-03-01,162.0,172.2,72.349,226889.0,84.488,125165.0
1998-04-01,162.2,172.5,72.482,230409.0,84.7779,125446.0
1998-05-01,162.6,172.9,72.552,230995.0,85.3367,125846.0
1998-06-01,162.8,173.2,72.461,233207.0,84.8248,126076.0
1998-07-01,163.2,173.5,72.665,231551.0,84.4986,126211.0
1998-08-01,163.4,174.0,72.807,229792.0,86.248,126546.0
1998-09-01,163.5,174.2,72.795,232308.0,86.2021,126744.0
1998-10-01,163.9,174.4,72.937,236174.0,86.7914,126948.0
1998-11-01,164.1,174.8,72.95,237592.0,86.7256,127223.0
1998-12-01,164.4,175.4,73.076,240140.0,87.1185,127595.0
1999-01-01,164.7,175.6,73.18,240269.0,87.4949,127699.0
1999-02-01,164.7,175.6,73.155,243346.0,88.027,128118.0
1999-03-01,164.8,175.7,73.177,244687.0,88.2267,128234.0
1999-04-01,165.9,176.3,73.365,246628.0,88.4295,128596.0
1999-05-01,166.0,176.5,73.435,248367.0,88.9886,128813.0
1999-06-01,166.0,176.6,73.474,249329.0,88.9188,129084.0
1999-07-01,166.7,177.1,73.606,251263.0,89.4333,129421.0
1999-08-01,167.1,177.3,73.642,253844.0,89.7924,129572.0
1999-09-01,167.8,177.8,73.837,255029.0,89.4299,129772.0
1999-10-01,168.1,178.1,73.963,254816.0,90.523,130178.0
1999-11-01,168.4,178.4,74.034,258133.0,90.9618,130467.0
1999-12-01,168.8,178.7,74.128,263311.0,91.6634,130783.0
2000-01-01,169.3,179.3,74.306,261545.0,91.538,131011.0
2000-02-01,170.0,179.4,74.415,265686.0,91.8239,131121.0
2000-03-01,171.0,180.0,74.568,269019.0,92.1504,131604.0
2000-04-01,170.9,180.3,74.617,264067.0,92.6989,131883.0
2000-05-01,171.2,180.7,74.697,265992.0,92.9499,132105.0
2000-06-01,172.2,181.1,74.754,267750.0,92.9862,132062.0
2000-07-01,172.7,181.5,74.925,265683.0,92.8048,132228.0
2000-08-01,172.7,181.9,75.021,266885.0,92.5521,132234.0
2000-09-01,173.6,182.3,75.203,270523.0,92.9792,132338.0
2000-10-01,173.9,182.6,75.308,270339.0,92.6179,132352.0
2000-11-01,174.2,183.1,75.441,268850.0,92.6438,132556.0
2000-12-01,174.6,183.3,75.515,268338.0,92.3415,132716.0
2001-01-01,175.6,183.9,75.796,272881.0,91.902,132703.0
2001-02-01,176.0,184.4,75.93,272627.0,91.3034,132788.0
2001-03-01,176.1,184.7,76.009,269820.0,91.1162,132751.0
2001-04-01,176.4,185.1,76.13,274410.0,90.7891,132457.0
2001-05-01,177.3,185.3,76.148,275769.0,90.3555,132409.0
2001-06-01,177.7,186.0,76.318,274474.0,89.8784,132299.0
2001-07-01,177.4,186.4,76.515,273098.0,89.3028,132171.0
2001-08-01,177.4,186.7,76.553,275659.0,89.2003,132021.0
2001-09-01,178.1,187.1,76.118,268652.0,88.7485,131763.0
2001-10-01,177.6,187.4,76.654,288632.0,88.5052,131452.0
2001-11-01,177.5,188.1,76.81,280033.0,87.97,131144.0
2001-12-01,177.4,188.4,76.828,276302.0,87.9324,130983.0
2002-01-01,177.7,188.7,76.871,277135.0,88.5176,130859.0
2002-02-01,178.0,189.1,77.018,278869.0,88.5278,130736.0
2002-03-01,178.5,189.2,77.11,278079.0,89.1686,130722.0
2002-04-01,179.3,189.7,77.325,281147.0,89.604,130615.0
2002-05-01,179.5,190.0,77.411,278966.0,89.964,130632.0
2002-06-01,179.6,190.2,77.534,280426.0,90.7061,130673.0
2002-07-01,180.0,190.5,77.692,284161.0,90.6769,130583.0
2002-08-01,180.5,191.1,77.845,285884.0,90.5762,130582.0
2002-09-01,180.8,191.3,77.972,281064.0,90.6531,130503.0
2002-10-01,181.2,191.5,78.038,282940.0,90.4643,130617.0
2002-11-01,181.5,191.9,78.114,283408.0,90.9711,130616.0
2002-12-01,181.8,192.1,78.187,286646.0,90.4652,130465.0
2003-01-01,182.6,192.4,78.24,288657.0,91.2361,130573.0
2003-02-01,183.6,192.5,78.348,284696.0,91.3445,130441.0
2003-03-01,183.9,192.5,78.474,288177.0,91.1044,130235.0
2003-04-01,183.2,192.5,78.561,289053.0,90.5617,130172.0
2003-05-01,182.9,192.9,78.674,289619.0,90.537,130196.0
2003-06-01,183.1,193.0,78.718,293671.0,90.6527,130185.0
2003-07-01,183.7,193.4,78.915,296207.0,91.1185,130184.0
2003-08-01,184.5,193.6,79.004,299592.0,90.9197,130153.0
2003-09-01,185.1,193.7,79.114,298921.0,91.5059,130253.0
2003-10-01,184.9,194.0,79.26,298205.0,91.6186,130440.0
2003-11-01,185.0,194.0,79.368,299433.0,92.2329,130481.0
2003-12-01,185.5,194.2,79.467,300702.0,92.2602,130589.0
2004-01-01,186.3,194.6,79.671,301993.0,92.4006,130756.0
2004-02-01,186.7,194.9,79.8,303915.0,92.958,130820.0
2004-03-01,187.1,195.5,79.934,309471.0,92.5861,131139.0
2004-04-01,187.4,195.9,80.142,307358.0,92.93,131412.0
2004-05-01,188.2,196.2,80.252,311088.0,93.6013,131697.0
2004-06-01,188.9,196.6,80.379,309127.0,92.871,131794.0
2004-07-01,189.1,196.8,80.474,311681.0,93.5649,131853.0
2004-08-01,189.2,196.9,80.505,311192.0,93.6277,131940.0
2004-09-01,189.8,197.5,80.656,317446.0,93.7467,132091.0
2004-10-01,190.8,197.9,80.831,318476.0,94.5465,132431.0
2004-11-01,191.7,198.3,81.005,320520.0,94.7813,132504.0
2004-12-01,191.7,198.6,81.109,324672.0,95.5365,132629.0
2005-01-01,191.6,199.0,81.401,321272.0,95.8801,132781.0
2005-02-01,192.4,199.4,81.536,325308.0,96.5761,133033.0
2005-03-01,193.1,200.1,81.737,326179.0,96.4456,133152.0
2005-04-01,193.7,200.2,81.831,329124.0,96.6532,133519.0
2005-05-01,193.6,200.5,81.999,327233.0,96.7402,133689.0
2005-06-01,193.7,200.6,82.056,337219.0,97.1753,133947.0
2005-07-01,194.9,200.9,82.176,339529.0,96.8676,134300.0
2005-08-01,196.1,201.1,82.243,335605.0,97.1833,134503.0
2005-09-01,198.8,201.3,82.425,336600.0,95.3005,134554.0
2005-10-01,199.1,202.0,82.662,336753.0,96.4572,134643.0
2005-11-01,198.1,202.5,82.873,339719.0,97.5414,134999.0
2005-12-01,198.1,202.8,82.959,339895.0,98.0452,135158.0
2006-01-01,199.3,203.2,83.145,349664.0,98.1999,135426.0
2006-02-01,199.4,203.6,83.279,347021.0,98.2413,135731.0
2006-03-01,199.7,204.3,83.509,348357.0,98.4628,136036.0
2006-04-01,200.7,204.8,83.764,350072.0,98.7618,136208.0
2006-05-01,201.3,205.4,83.974,348889.0,98.7869,136249.0
2006-06-01,201.8,205.9,84.186,350795.0,99.0997,136335.0
2006-07-01,202.9,206.3,84.268,351916.0,99.0489,136529.0
2006-08-01,203.8,206.8,84.44,353285.0,99.4836,136693.0
2006-09-01,202.8,207.2,84.573,351240.0,99.3183,136829.0
2006-10-01,201.9,207.6,84.726,351035.0,99.2044,136846.0
2006-11-01,202.0,207.8,84.766,352116.0,99.1627,137061.0
2006-12-01,203.1,208.1,84.88,356367.0,100.1735,137249.0
2007-01-01,203.437,208.6,85.224,355792.0,99.8346,137472.0
2007-02-01,204.226,209.135,85.408,356545.0,100.7753,137558.0
2007-03-01,205.288,209.418,85.494,359415.0,100.9547,137782.0
2007-04-01,205.904,209.747,85.616,358562.0,101.6334,137845.0
